1,2,3,4,5,6,7,8,9,10,11,12
"수원시",1038.1,630.4,606.0,24.4,-,407.7,60.7,58.4,63.4,3.9,-
"성남시",798.7,497.6,471.8,25.7,-,301.1,62.3,59.1,65.4,5.2,-
"의정부시",389.5,229.6,219.0,10.5,-,159.9,58.9,56.2,63.8,4.6,-
"안양시",470.8,288.0,273.5,14.6,-,182.7,61.2,58.1,64.1,5.1,-
"부천시",723.5,444.0,423.9,20.1,-,279.5,61.4,58.6,65.0,4.5,-
"광명시",258.7,157.5,149.9,7.6,-,101.2,60.9,58.0,64.4,4.8,-
"평택시",456.2,286.7,275.0,11.7,-,169.6,62.8,60.3,65.5,4.1,-
"동두천시",82.7,45.1,42.8,2.3,-,37.6,54.5,51.7,61.5,5.2,-
"안산시",620.4,380.9,358.6,22.3,-,239.5,61.4,57.8,62.4,5.9,-
"고양시",898.7,533.8,516.6,17.3,-,364.8,59.4,57.5,64.3,3.2,-
"과천시",49.0,27.1,26.1,1.0,-,21.9,55.4,53.3,60.4,3.6,-
"구리시",166.2,103.3,98.3,5.0,-,62.9,62.2,59.1,65.4,4.8,-
"남양주시",583.5,331.5,315.8,15.7,-,252.0,56.8,54.1,60.6,4.7,-
"오산시",199.4,130.9,123.6,7.3,-,68.5,65.6,62.0,66.0,5.6,-
"시흥시",446.9,292.4,274.5,17.9,-,154.6,65.4,61.4,65.3,6.1,-
"군포시",237.8,143.1,137.1,6.0,-,94.7,60.2,57.7,64.4,4.2,-
"의왕시",139.0,83.2,79.4,3.8,-,55.8,59.9,57.1,62.6,4.6,-
"하남시",241.3,151.8,147.5,4.3,-,89.5,62.9,61.1,67.4,2.8,-
"용인시",907.9,520.3,501.0,19.3,-,387.6,57.3,55.2,61.4,3.7,-
"파주시",383.2,231.5,223.7,7.8,-,151.7,60.4,58.4,64.8,3.4,-
"이천시",192.8,127.8,124.3,3.5,-,65.0,66.3,64.5,69.1,2.7,-
"안성시",177.5,118.6,114.0,4.6,-,58.9,66.8,64.2,70.5,3.9,-
"김포시",389.6,242.8,230.8,11.9,-,146.8,62.3,59.3,64.9,4.9,-
"화성시",715.9,479.3,461.9,17.3,-,236.7,66.9,64.5,67.9,3.6,-
"광주시",328.6,211.8,204.3,7.5,-,116.9,64.4,62.2,68.7,3.5,-
"양주시",195.4,112.6,106.2,6.5,-,82.8,57.6,54.3,61.5,5.7,-
"포천시",137.4,86.0,83.1,2.9,-,51.4,62.6,60.4,66.8,3.4,-
"여주시",97.9,61.6,60.6,1.0,*,36.3,62.9,61.9,69.8,1.6,*
"여주군",-,-,-,-,-,-,-,-,-,-,-
"연천군",35.7,22.8,22.3,0.4,*,12.9,63.7,62.5,71.0,2.0,*
"가평군",52.1,31.7,31.4,0.3,*,20.4,60.9,60.4,68.8,0.9,*
"양평군",99.9,60.2,59.5,0.7,*,39.7,60.3,59.6,65.7,1.2,*
"춘천시",247.4,148.6,142.8,5.7,-,98.8,60.1,57.7,64.8,3.9,-
"원주시",303.2,187.4,179.5,7.9,-,115.8,61.8,59.2,64.6,4.2,-
"강릉시",190.1,115.9,112.5,3.4,-,74.2,61.0,59.2,64.1,2.9,-
"동해시",73.7,44.4,43.5,0.9,*,29.3,60.2,59.0,63.7,2.0,-
"태백시",36.6,22.5,21.8,0.7,-,14.1,61.6,59.6,65.9,3.3,-
"속초시",66.4,42.5,41.9,0.6,*,23.9,64.0,63.1,69.9,1.3,*
"삼척시",58.3,35.5,35.1,0.5,*,22.8,60.9,60.1,62.8,1.4,*
"홍천군",56.9,39.0,38.3,0.6,*,17.9,68.5,67.4,73.0,1.6,*
"횡성군",39.1,26.7,26.2,0.6,*,12.3,68.4,67.0,73.5,2.1,*
"영월군",32.5,22.1,21.6,0.5,-,10.4,67.9,66.3,71.5,2.4,-
"평창군",35.3,24.9,24.7,0.2,*,10.3,70.7,70.0,77.1,0.9,*
"정선군",31.2,21.8,21.5,0.3,*,9.4,69.9,69.0,76.3,1.4,*
"철원군",33.2,21.5,21.4,0.2,*,11.7,64.8,64.2,68.0,0.9,*
"화천군",17.5,11.9,11.9,0.1,*,5.5,68.3,67.9,68.6,0.5,*
"양구군",16.2,11.5,11.3,0.1,*,4.7,70.8,70.2,73.5,0.9,*
"인제군",22.7,16.4,16.2,0.2,*,6.3,72.1,71.4,74.4,0.9,*
"고성군",24.4,16.8,16.6,0.2,*,7.6,68.9,68.3,70.0,0.9,*
"양양군",23.8,16.4,16.2,0.2,*,7.4,68.8,68.0,73.1,1.2,*
"청주시",729.2,455.0,440.0,15.0,-,274.2,62.4,60.3,65.9,3.3,-
"충주시",188.6,119.1,116.3,2.8,-,69.6,63.1,61.7,66.5,2.3,-
"제천시",119.0,73.5,70.4,3.1,-,45.5,61.8,59.2,64.9,4.2,-
"청원군",-,-,-,-,-,-,-,-,-,-,-
"보은군",28.3,19.6,19.5,0.1,*,8.7,69.1,68.9,75.0,0.3,*
"옥천군",44.0,27.9,27.6,0.4,*,16.0,63.6,62.7,68.9,1.3,*
"영동군",42.3,26.3,26.1,0.3,*,15.9,62.3,61.7,66.3,1.0,*
"진천군",75.9,54.5,52.6,1.9,-,21.4,71.8,69.4,73.0,3.5,-
"괴산군",35.4,23.6,23.2,0.3,*,11.8,66.7,65.7,70.8,1.5,*
"음성군",90.8,62.3,60.9,1.3,*,28.6,68.5,67.1,73.3,2.1,*
"단양군",25.0,16.5,16.2,0.3,*,8.5,66.0,64.9,73.2,1.6,*
"증평군",31.3,20.7,20.0,0.7,-,10.7,66.0,63.8,67.8,3.3,-
"천안시",588.4,389.7,377.3,12.4,-,198.7,66.2,64.1,68.7,3.2,-
"공주시",98.0,64.3,61.2,3.2,-,33.7,65.7,62.4,65.2,4.9,-
"보령시",87.4,56.7,55.9,0.8,*,30.7,64.9,64.0,71.2,1.5,*
"아산시",290.6,188.2,182.7,5.5,-,102.5,64.7,62.9,67.5,2.9,-
"서산시",149.5,102.2,100.5,1.7,-,47.2,68.4,67.2,70.8,1.7,-
"논산시",104.6,67.3,64.7,2.6,-,37.2,64.4,61.9,67.3,3.9,-
"계룡시",30.7,17.8,17.1,0.7,-,12.9,58.1,55.7,57.5,4.0,-
"당진시",142.2,100.2,98.0,2.2,-,42.1,70.4,68.9,71.4,2.2,-
"금산군",49.2,32.2,31.4,0.8,*,17.0,65.5,63.9,67.0,2.4,*
"연기군",-,-,-,-,-,-,-,-,-,-,-
"부여군",58.1,39.3,38.9,0.5,*,18.7,67.7,67.0,71.5,1.1,*
"서천군",45.8,30.8,30.8,0.1,*,15.0,67.3,67.2,73.8,0.2,*
"청양군",27.9,21.7,21.5,0.2,*,6.2,77.8,77.0,78.9,1.1,*
"홍성군",88.8,58.4,57.1,1.3,*,30.5,65.7,64.3,66.8,2.1,*
"예산군",69.8,46.4,45.7,0.7,*,23.5,66.4,65.5,71.7,1.4,*
"태안군",54.0,39.4,39.3,0.1,*,14.5,73.1,72.9,76.9,0.3,*
"전주시",568.3,340.3,329.4,10.9,-,228.0,59.9,58.0,62.9,3.2,-
"군산시",230.5,132.2,127.8,4.4,-,98.3,57.4,55.4,59.9,3.4,-
"익산시",248.2,145.8,141.4,4.4,-,102.4,58.7,57.0,61.2,3.0,-
"정읍시",92.6,57.2,56.7,0.5,*,35.4,61.8,61.2,66.0,0.9,*
"남원시",67.7,46.6,45.4,1.3,*,21.1,68.9,67.0,72.3,2.7,*
"김제시",70.3,44.7,44.3,0.4,*,25.6,63.6,63.0,71.0,1.0,*
"완주군",82.8,53.3,51.8,1.5,*,29.4,64.4,62.6,63.8,2.9,*
"진안군",20.2,15.0,14.9,0.0,*,5.3,73.9,73.9,78.2,0.1,*
