"1","2","3","4","5","6"
"그리스","남자","15~19세",3.37341,5.59579,39.7152
"그리스","남자","15~24세",15.91255,23.94037,33.53255
"그리스","남자","15~64세",65.89341,76.70061,14.09011
"그리스","남자","20~24세",29.26001,43.4675,32.68532
"그리스","남자","25~29세",67.09635,86.86536,22.75821
"그리스","남자","25~34세",73.60133,91.04733,19.16147
"그리스","남자","25~54세",80.77461,93.1843,13.31736
"그리스","남자","25~64세",75.06056,86.37753,13.10176
"그리스","남자","30~34세",79.86344,95.07318,15.99793
"그리스","남자","35~39세",84.49732,95.61999,11.63216
"그리스","남자","35~44세",84.71254,95.41642,11.21806
"그리스","남자","40~44세",84.89713,95.24183,10.8615
"그리스","남자","45~49세",84.27069,94.69062,11.00418
"그리스","남자","45~54세",82.39917,92.61348,11.02896
"그리스","남자","50~54세",80.63156,90.65165,11.0534
"그리스","남자","55~59세",69.45743,78.57276,11.60113
"그리스","남자","55~64세",56.12744,63.82377,12.05873
"그리스","남자","60~64세",43.38704,49.72714,12.74978
"그리스","남자","65~69세",16.0497,18.04859,11.07503
"그리스","남자","65세 이상",5.5657,6.163,9.69171
"그리스","남자","총계",51.66182,60.06045,13.98364
"그리스","여자","15~19세",1.69251,3.37603,49.86677
"그리스","여자","15~24세",13.20222,21.00522,37.14792
"그리스","여자","15~64세",47.26724,60.35114,21.67962
"그리스","여자","20~24세",26.07495,40.72213,35.9686
"그리스","여자","25~29세",56.65304,80.43199,29.56405
"그리스","여자","25~34세",57.9921,80.68386,28.12429
"그리스","여자","25~54세",60.7809,77.62613,21.70046
"그리스","여자","25~64세",53.38846,67.4213,20.81366
"그리스","여자","30~34세",59.11838,80.89572,26.92026
"그리스","여자","35~39세",62.72366,80.8074,22.37882
"그리스","여자","35~44세",64.04144,80.40075,20.34721
"그리스","여자","40~44세",65.17601,80.05064,18.58152
"그리스","여자","45~49세",61.4812,77.80689,20.98232
"그리스","여자","45~54세",59.71794,72.81974,17.99209
"그리스","여자","50~54세",58.1442,68.3686,14.95482
"그리스","여자","55~59세",40.10494,47.80334,16.10431
"그리스","여자","55~64세",31.57586,37.31028,15.36954
"그리스","여자","60~64세",23.50864,27.38542,14.15638
"그리스","여자","65~69세",7.79764,8.66315,9.99069
"그리스","여자","65세 이상",2.21959,2.46345,9.89928
"그리스","여자","총계",34.86982,44.42005,21.49983
"그리스","개인 전체","15~19세",2.52204,4.47148,43.59729
"그리스","개인 전체","15~24세",14.5558,22.47107,35.22429
"그리스","개인 전체","15~64세",56.48864,68.44539,17.46905
"그리스","개인 전체","20~24세",27.68616,42.11092,34.2542
"그리스","개인 전체","25~29세",62.15949,83.82412,25.84533
"그리스","개인 전체","25~34세",65.94551,85.96439,23.28741
"그리스","개인 전체","25~54세",70.80407,85.42569,17.11619
"그리스","개인 전체","25~64세",64.10077,76.79118,16.52587
"그리스","개인 전체","30~34세",69.35708,87.89299,21.08918
"그리스","개인 전체","35~39세",73.71879,88.28737,16.50132
"그리스","개인 전체","35~44세",74.49052,87.99105,15.34307
"그리스","개인 전체","40~44세",75.15367,87.73643,14.34155
"그리스","개인 전체","45~49세",72.84231,86.22383,15.51952
"그리스","개인 전체","45~54세",70.85782,82.54142,14.15484
"그리스","개인 전체","50~54세",69.03668,79.16211,12.79076
"그리스","개인 전체","55~59세",54.00889,62.37847,13.41742
"그리스","개인 전체","55~64세",43.17294,49.83408,13.36664
"그리스","개인 전체","60~64세",32.87312,37.91034,13.2872
"그리스","개인 전체","65~69세",11.65765,13.05331,10.692
"그리스","개인 전체","65세 이상",3.7039,4.10455,9.76103
"그리스","개인 전체","총계",42.96161,51.9569,17.313
"네덜란드","남자","15~19세",57.78792,63.19175,8.55147
"네덜란드","남자","15~24세",64.64843,69.71433,7.26666
"네덜란드","남자","15~64세",82.24409,85.11988,3.37852
"네덜란드","남자","20~24세",71.32422,76.0613,6.22798
"네덜란드","남자","25~29세",85.80185,89.39657,4.02109
"네덜란드","남자","25~34세",87.96585,90.89146,3.21879
"네덜란드","남자","25~54세",89.26715,91.51645,2.45781
"네덜란드","남자","25~64세",86.44781,88.80037,2.64926
"네덜란드","남자","30~34세",90.23232,92.45714,2.40633
"네덜란드","남자","35~39세",91.9657,93.73541,1.88798
"네덜란드","남자","35~44세",90.92446,92.93356,2.16186
"네덜란드","남자","40~44세",89.86666,92.11895,2.44499
"네덜란드","남자","45~49세",89.19324,91.05798,2.04786
"네덜란드","남자","45~54세",89.07138,90.91087,2.0234
"네덜란드","남자","50~54세",88.95696,90.77273,2.00035
"네덜란드","남자","55~59세",84.65645,87.16718,2.88037
"네덜란드","남자","55~64세",78.30194,80.95283,3.27461
"네덜란드","남자","60~64세",71.15172,73.96032,3.79744
"네덜란드","남자","65~69세",25.61549,27.01998,5.19796
"네덜란드","남자","65세 이상",13.19216,13.72851,3.90685
"네덜란드","남자","총계",67.49681,69.87297,3.40068
"네덜란드","여자","15~19세",60.20736,65.07599,7.48145
"네덜란드","여자","15~24세",65.96443,70.31639,6.18912
"네덜란드","여자","15~64세",74.06888,76.65244,3.37049
"네덜란드","여자","20~24세",71.45246,75.31191,5.12462
"네덜란드","여자","25~29세",84.47684,86.88418,2.77074
"네덜란드","여자","25~34세",83.34653,85.90541,2.97872
"네덜란드","여자","25~54세",81.10597,83.34897,2.6911
"네덜란드","여자","25~64세",75.94038,78.11558,2.78459
"네덜란드","여자","30~34세",82.16891,84.88569,3.20051
"네덜란드","여자","35~39세",80.63188,82.85641,2.6848
"네덜란드","여자","35~44세",80.68232,82.9577,2.74282
"네덜란드","여자","40~44세",80.73297,83.05942,2.80095
"네덜란드","여자","45~49세",80.75317,82.81076,2.48468
"네덜란드","여자","45~54세",79.48026,81.4179,2.37986
"네덜란드","여자","50~54세",78.26597,80.08917,2.27646
"네덜란드","여자","55~59세",70.05683,72.12805,2.87159
"네덜란드","여자","55~64세",61.16181,63.14304,3.13769
"네덜란드","여자","60~64세",51.26221,53.14329,3.53964
"네덜란드","여자","65~69세",13.13381,13.62256,3.58777
"네덜란드","여자","65세 이상",5.43094,5.58493,2.75726
"네덜란드","여자","총계",57.80385,59.81168,3.35692
"네덜란드","개인 전체","15~19세",58.971,64.11312,8.02039
"네덜란드","개인 전체","15~24세",65.29538,70.01031,6.73462
"네덜란드","개인 전체","15~64세",78.16886,80.89897,3.37473
"네덜란드","개인 전체","20~24세",71.38758,75.69101,5.68551
"네덜란드","개인 전체","25~29세",85.14545,88.15194,3.41058
"네덜란드","개인 전체","25~34세",85.67448,88.41818,3.10309
"네덜란드","개인 전체","25~54세",85.1909,87.43706,2.56888
"네덜란드","개인 전체","25~64세",81.19301,83.45687,2.71261
"네덜란드","개인 전체","30~34세",86.22712,88.6963,2.78386
"네덜란드","개인 전체","35~39세",86.29585,88.29308,2.26205
"네덜란드","개인 전체","35~44세",85.78601,87.9287,2.43685
"네덜란드","개인 전체","40~44세",85.27105,87.56066,2.61488
"네덜란드","개인 전체","45~49세",84.95038,86.91206,2.25709
"네덜란드","개인 전체","45~54세",84.26931,86.15794,2.19205
"네덜란드","개인 전체","50~54세",83.62471,85.44418,2.12943
"네덜란드","개인 전체","55~59세",77.34735,79.63805,2.87639
"네덜란드","개인 전체","55~64세",69.69878,72.01355,3.21435
"네덜란드","개인 전체","60~64세",61.13974,63.48145,3.6888
"네덜란드","개인 전체","65~69세",19.3101,20.25198,4.65081
"네덜란드","개인 전체","65세 이상",9.06328,9.39622,3.54335
"네덜란드","개인 전체","총계",62.5918,64.78157,3.38024
"노르웨이","남자","15~19세",31.72249,36.81295,13.8279
"노르웨이","남자","15~24세",49.48928,55.22455,10.38538
"노르웨이","남자","15~64세",77.41084,80.67962,4.05156
"노르웨이","남자","20~24세",66.10193,72.44014,8.74958
"노르웨이","남자","25~29세",80.71529,84.85368,4.87708
"노르웨이","남자","25~34세",84.20596,87.83606,4.13281
"노르웨이","남자","25~54세",85.89714,88.92017,3.39971
"노르웨이","남자","25~64세",83.8754,86.57313,3.11613
"노르웨이","남자","30~34세",87.71663,90.83552,3.43357
"노르웨이","남자","35~39세",88.38806,91.63457,3.54289
"노르웨이","남자","35~44세",88.06527,91.17839,3.41432
"노르웨이","남자","40~44세",87.73603,90.71309,3.28184
"노르웨이","남자","45~49세",86.25667,88.72705,2.78425
"노르웨이","남자","45~54세",85.52183,87.86103,2.66239
"노르웨이","남자","50~54세",84.77219,86.97757,2.53558
"노르웨이","남자","55~59세",83.72449,85.35847,1.91425
"노르웨이","남자","55~64세",76.81161,78.37276,1.99195
"노르웨이","남자","60~64세",69.25672,70.73828,2.09442
"노르웨이","남자","65~69세",34.87083,35.44958,1.63261
"노르웨이","남자","65세 이상",12.42063,12.61382,1.53154
"노르웨이","남자","총계",63.51858,66.12993,3.94881
"노르웨이","여자","15~19세",35.17543,41.48346,15.20613
"노르웨이","여자","15~24세",50.45021,55.75205,9.50968
"노르웨이","여자","15~64세",73.08715,75.72772,3.48693
"노르웨이","여자","20~24세",64.72956,69.09078,6.3123
"노르웨이","여자","25~29세",80.72311,83.55413,3.38824
"노르웨이","여자","25~34세",81.0137,83.79095,3.3145
"노르웨이","여자","25~54세",81.08744,83.48484,2.87166
"노르웨이","여자","25~64세",78.28735,80.31657,2.52653
"노르웨이","여자","30~34세",81.30544,84.02871,3.24088
"노르웨이","여자","35~39세",81.14841,84.41408,3.86863
"노르웨이","여자","35~44세",81.16074,83.79431,3.1429
"노르웨이","여자","40~44세",81.17331,83.16321,2.39277
"노르웨이","여자","45~49세",81.1178,83.14987,2.44386
"노르웨이","여자","45~54세",81.09184,82.89075,2.17022
"노르웨이","여자","50~54세",81.06526,82.62552,1.88835
"노르웨이","여자","55~59세",76.19144,77.14119,1.23119
"노르웨이","여자","55~64세",68.72344,69.49513,1.11041
"노르웨이","여자","60~64세",60.77607,61.35825,0.94883
"노르웨이","여자","65~69세",24.11563,24.20819,0.38235
"노르웨이","여자","65세 이상",9.11073,9.14002,0.32048
"노르웨이","여자","총계",60.0115,62.11837,3.39171
"노르웨이","개인 전체","15~19세",33.40269,39.08562,14.53969
"노르웨이","개인 전체","15~24세",49.95689,55.48125,9.95716
"노르웨이","개인 전체","15~64세",75.29994,78.26203,3.78483
"노르웨이","개인 전체","20~24세",65.43406,70.81016,7.59227
"노르웨이","개인 전체","25~29세",80.71911,84.21896,4.15566
"노르웨이","개인 전체","25~34세",82.64614,85.85952,3.74259
"노르웨이","개인 전체","25~54세",83.55333,86.27148,3.1507
"노르웨이","개인 전체","25~64세",81.14518,83.51629,2.8391
"노르웨이","개인 전체","30~34세",84.58258,87.50808,3.34312
"노르웨이","개인 전체","35~39세",84.87075,88.12657,3.69448
"노르웨이","개인 전체","35~44세",84.70936,87.5894,3.28811
"노르웨이","개인 전체","40~44세",84.54487,87.04192,2.86879
"노르웨이","개인 전체","45~49세",83.75089,86.00755,2.62379
"노르웨이","개인 전체","45~54세",83.36355,85.43952,2.42976
